0.0100	3.89
0.0110	4.16
0.0120	4.41
0.0130	4.66
0.0140	4.90
0.0150	5.13
0.0160	5.36
0.0170	5.58
0.0180	5.80
0.0200	6.22
0.0225	6.73
0.0250	7.22
0.0275	7.70
0.0300	8.16
0.0325	8.62
0.0350	9.06
0.0375	9.50
0.0400	9.94
0.0450	10.79
0.0500	11.64
0.0550	12.47
0.0600	13.31
0.0650	14.14
0.0700	14.98
0.0800	16.68
0.0900	18.41
0.100	20.19
0.110	22.03
0.120	23.93
0.130	25.89
0.140	27.92
0.150	30.02
0.160	32.20
0.170	34.45
0.180	36.78
0.200	41.67
0.225	48.23
0.250	55.28
0.275	62.82
0.300	70.84
0.325	79.34
0.350	88.30
0.375	97.73
0.400	107.62
0.450	128.71
0.500	151.56
0.550	176.10
0.600	202.31
0.650	230.15
0.700	259.58
0.800	323.11
0.900	392.80
1.00	468.54
1.10	550.26
1.20	638.33
1.30	732.86
1.40	833.40
1.50	939.80
1.60	1050
1.70	1170
1.80	1290
2.00	1560
2.25	1920
2.50	2310
2.75	2730
3.00	3190
3.25	3680
3.50	4190
3.75	4740
4.00	5320
4.50	6570
5.00	7930
5.50	9410
6.00	11010
6.50	12710
7.00	14530
8.00	18490
9.00	22880
10.0	27700
