0.0100	3.98
0.0110	4.34
0.0120	4.70
0.0130	5.04
0.0140	5.38
0.0150	5.71
0.0160	6.03
0.0170	6.35
0.0180	6.66
0.0200	7.26
0.0225	7.99
0.0250	8.68
0.0275	9.35
0.0300	9.99
0.0325	10.61
0.0350	11.21
0.0375	11.79
0.0400	12.36
0.0450	13.45
0.0500	14.49
0.0550	15.49
0.0600	16.44
0.0650	17.37
0.0700	18.26
0.0800	19.97
0.0900	21.58
0.100	23.11
0.110	24.58
0.120	25.98
0.130	27.33
0.140	28.64
0.150	29.90
0.160	31.12
0.170	32.31
0.180	33.47
0.200	35.70
0.225	38.36
0.250	40.89
0.275	43.32
0.300	45.67
0.325	47.95
0.350	50.17
0.375	52.35
0.400	54.49
0.450	58.70
0.500	62.83
0.550	66.92
0.600	71.01
0.650	75.10
0.700	79.22
0.800	87.61
0.900	96.25
1.00	105.19
1.10	114.46
1.20	124.10
1.30	134.11
1.40	144.51
1.50	155.31
1.60	166.51
1.70	178.12
1.80	190.14
2.00	215.39
2.25	249.24
2.50	285.63
2.75	324.52
3.00	365.89
3.25	409.72
3.50	455.97
3.75	504.63
4.00	555.68
4.50	664.81
5.00	783.30
5.50	911.04
6.00	1050
6.50	1190
7.00	1350
8.00	1690
9.00	2060
10.0	2460
