0.0100	1.75
0.0110	1.93
0.0120	2.10
0.0130	2.28
0.0140	2.45
0.0150	2.62
0.0160	2.80
0.0170	2.97
0.0180	3.14
0.0200	3.48
0.0225	3.92
0.0250	4.35
0.0275	4.79
0.0300	5.22
0.0325	5.64
0.0350	6.07
0.0375	6.49
0.0400	6.90
0.0450	7.70
0.0500	8.49
0.0550	9.24
0.0600	9.98
0.0650	10.69
0.0700	11.39
0.0800	12.72
0.0900	14.00
0.100	15.22
0.110	16.40
0.120	17.54
0.130	18.65
0.140	19.73
0.150	20.79
0.160	21.82
0.170	22.83
0.180	23.82
0.200	25.75
0.225	28.07
0.250	30.31
0.275	32.48
0.300	34.58
0.325	36.62
0.350	38.60
0.375	40.53
0.400	42.41
0.450	46.04
0.500	49.50
0.550	52.81
0.600	55.97
0.650	59.01
0.700	61.92
0.800	67.41
0.900	72.51
1.00	77.28
1.10	81.78
1.20	86.05
1.30	90.11
1.40	94.01
1.50	97.78
1.60	101.43
1.70	104.98
1.80	108.45
2.00	115.20
2.25	123.40
2.50	131.42
2.75	139.35
3.00	147.25
3.25	155.15
3.50	163.10
3.75	171.11
4.00	179.20
4.50	195.70
5.00	212.68
5.50	230.20
6.00	248.30
6.50	267.03
7.00	286.42
8.00	327.26
9.00	371.01
10.0	417.81
