0.0100	2.23
0.0110	2.38
0.0120	2.53
0.0130	2.67
0.0140	2.81
0.0150	2.95
0.0160	3.08
0.0170	3.21
0.0180	3.34
0.0200	3.59
0.0225	3.89
0.0250	4.18
0.0275	4.46
0.0300	4.73
0.0325	5.00
0.0350	5.26
0.0375	5.52
0.0400	5.77
0.0450	6.27
0.0500	6.77
0.0550	7.26
0.0600	7.74
0.0650	8.23
0.0700	8.72
0.0800	9.70
0.0900	10.71
0.100	11.73
0.110	12.79
0.120	13.88
0.130	15.00
0.140	16.16
0.150	17.36
0.160	18.60
0.170	19.88
0.180	21.20
0.200	23.96
0.225	27.65
0.250	31.61
0.275	35.83
0.300	40.31
0.325	45.04
0.350	50.03
0.375	55.26
0.400	60.74
0.450	72.40
0.500	85.00
0.550	98.50
0.600	112.89
0.650	128.15
0.700	144.27
0.800	178.98
0.900	216.99
1.00	258.23
1.10	302.74
1.20	350.78
1.30	402.39
1.40	457.27
1.50	515.34
1.60	576.56
1.70	640.86
1.80	708.19
2.00	851.67
2.25	1050
2.50	1260
2.75	1490
3.00	1740
3.25	2000
3.50	2280
3.75	2580
4.00	2890
4.50	3570
5.00	4300
5.50	5100
6.00	5960
6.50	6880
7.00	7860
8.00	9990
9.00	12350
10.0	14930
