0.0100	0.59191
0.0110	0.64665
0.0120	0.70119
0.0130	0.75552
0.0140	0.80963
0.0150	0.86351
0.0160	0.91713
0.0170	0.97051
0.0180	1.02
0.0200	1.13
0.0225	1.26
0.0250	1.39
0.0275	1.51
0.0300	1.64
0.0325	1.77
0.0350	1.89
0.0375	2.01
0.0400	2.14
0.0450	2.38
0.0500	2.62
0.0550	2.86
0.0600	3.09
0.0650	3.32
0.0700	3.55
0.0800	4.00
0.0900	4.44
0.100	4.87
0.110	5.29
0.120	5.70
0.130	6.10
0.140	6.50
0.150	6.88
0.160	7.26
0.170	7.63
0.180	8.00
0.200	8.72
0.225	9.58
0.250	10.41
0.275	11.22
0.300	12.00
0.325	12.75
0.350	13.49
0.375	14.20
0.400	14.90
0.450	16.25
0.500	17.53
0.550	18.77
0.600	19.96
0.650	21.11
0.700	22.22
0.800	24.33
0.900	26.33
1.00	28.22
1.10	30.01
1.20	31.72
1.30	33.36
1.40	34.94
1.50	36.46
1.60	37.93
1.70	39.36
1.80	40.74
2.00	43.41
2.25	46.60
2.50	49.67
2.75	52.64
3.00	55.55
3.25	58.40
3.50	61.23
3.75	64.03
4.00	66.82
4.50	72.38
5.00	77.95
5.50	83.56
6.00	89.24
6.50	94.99
7.00	100.82
8.00	112.79
9.00	125.20
10.0	138.07
