0.0100	4.73
0.0110	5.07
0.0120	5.39
0.0130	5.70
0.0140	6.00
0.0150	6.30
0.0160	6.59
0.0170	6.87
0.0180	7.15
0.0200	7.69
0.0225	8.34
0.0250	8.96
0.0275	9.57
0.0300	10.16
0.0325	10.75
0.0350	11.32
0.0375	11.88
0.0400	12.43
0.0450	13.52
0.0500	14.59
0.0550	15.66
0.0600	16.71
0.0650	17.76
0.0700	18.82
0.0800	20.94
0.0900	23.09
0.100	25.29
0.110	27.54
0.120	29.86
0.130	32.24
0.140	34.70
0.150	37.24
0.160	39.85
0.170	42.55
0.180	45.32
0.200	51.13
0.225	58.87
0.250	67.13
0.275	75.92
0.300	85.23
0.325	95.04
0.350	105.37
0.375	116.18
0.400	127.49
0.450	151.52
0.500	177.41
0.550	205.12
0.600	234.60
0.650	265.82
0.700	298.74
0.800	369.55
0.900	446.96
1.00	530.87
1.10	621.41
1.20	719.27
1.30	824.47
1.40	936.35
1.50	1050
1.60	1180
1.70	1310
1.80	1450
2.00	1740
2.25	2140
2.50	2570
2.75	3040
3.00	3540
3.25	4080
3.50	4640
3.75	5250
4.00	5880
4.50	7240
5.00	8730
5.50	10340
6.00	12070
6.50	13920
7.00	15900
8.00	20180
9.00	24930
10.0	30130
