0.0100	1.95
0.0110	2.13
0.0120	2.30
0.0130	2.46
0.0140	2.63
0.0150	2.79
0.0160	2.94
0.0170	3.10
0.0180	3.25
0.0200	3.54
0.0225	3.89
0.0250	4.23
0.0275	4.55
0.0300	4.86
0.0325	5.16
0.0350	5.46
0.0375	5.74
0.0400	6.02
0.0450	6.55
0.0500	7.06
0.0550	7.55
0.0600	8.02
0.0650	8.48
0.0700	8.92
0.0800	9.76
0.0900	10.56
0.100	11.32
0.110	12.05
0.120	12.74
0.130	13.41
0.140	14.05
0.150	14.68
0.160	15.28
0.170	15.87
0.180	16.45
0.200	17.55
0.225	18.87
0.250	20.13
0.275	21.34
0.300	22.52
0.325	23.66
0.350	24.78
0.375	25.88
0.400	26.96
0.450	29.08
0.500	31.18
0.550	33.26
0.600	35.34
0.650	37.43
0.700	39.54
0.800	43.85
0.900	48.30
1.00	52.91
1.10	57.72
1.20	62.71
1.30	67.92
1.40	73.33
1.50	78.96
1.60	84.81
1.70	90.88
1.80	97.16
2.00	110.38
2.25	128.12
2.50	147.20
2.75	167.62
3.00	189.34
3.25	212.35
3.50	236.64
3.75	262.19
4.00	289.00
4.50	346.30
5.00	408.50
5.50	475.55
6.00	547.40
6.50	624.01
7.00	705.34
8.00	881.85
9.00	1080
10.0	1290
