0.0100	1.92 
0.0110	2.11 
0.0120	2.30 
0.0130	2.49 
0.0140	2.68 
0.0150	2.86 
0.0160	3.05 
0.0170	3.24 
0.0180	3.42 
0.0200	3.79 
0.0225	4.26 
0.0250	4.73 
0.0275	5.20 
0.0300	5.67 
0.0325	6.12 
0.0350	6.58 
0.0375	7.03 
0.0400	7.47 
0.0450	8.32 
0.0500	9.15 
0.0550	9.96 
0.0600	10.73
0.0650	11.49
0.0700	12.22
0.0800	13.63
0.0900	14.98
0.100	16.28
0.110	17.53
0.120	18.74
0.130	19.93
0.140	21.08
0.150	22.21
0.160	23.31
0.170	24.39
0.180	25.45
0.200	27.52
0.225	30.02
0.250	32.42
0.275	34.74
0.300	36.99
0.325	39.17
0.350	41.28
0.375	43.34
0.400	45.35
0.450	49.22
0.500	52.90
0.550	56.42
0.600	59.79
0.650	63.03
0.700	66.14
0.800	72.03
0.900	77.53
1.00	82.70
1.10	87.60
1.20	92.27
1.30	96.75
1.40	101.06
1.50	105.24
1.60	109.31
1.70	113.28
1.80	117.17
2.00	124.77
2.25	134.04
2.50	143.15
2.75	152.18
3.00	161.20
3.25	170.25
3.50	179.36
3.75	188.56
4.00	197.86
4.50	216.85
5.00	236.41
5.50	256.61
6.00	277.50
6.50	299.10
7.00	321.45
8.00	368.48
9.00	418.74
10.0	472.37
