0.0100	1.26
0.0110	1.38
0.0120	1.49
0.0130	1.61
0.0140	1.73
0.0150	1.84
0.0160	1.96
0.0170	2.07
0.0180	2.18
0.0200	2.41
0.0225	2.69
0.0250	2.97
0.0275	3.24
0.0300	3.51
0.0325	3.78
0.0350	4.05
0.0375	4.31
0.0400	4.58
0.0450	5.11
0.0500	5.63
0.0550	6.15
0.0600	6.67
0.0650	7.18
0.0700	7.69
0.0800	8.69
0.0900	9.66
0.100	10.61
0.110	11.54
0.120	12.45
0.130	13.34
0.140	14.20
0.150	15.05
0.160	15.89
0.170	16.70
0.180	17.51
0.200	19.07
0.225	20.95
0.250	22.77
0.275	24.52
0.300	26.21
0.325	27.86
0.350	29.46
0.375	31.02
0.400	32.55
0.450	35.49
0.500	38.31
0.550	41.02
0.600	43.64
0.650	46.17
0.700	48.61
0.800	53.26
0.900	57.63
1.00	61.75
1.10	65.66
1.20	69.36
1.30	72.89
1.40	76.26
1.50	79.49
1.60	82.60
1.70	85.60
1.80	88.50
2.00	94.06
2.25	100.64
2.50	106.92
2.75	112.97
3.00	118.86
3.25	124.63
3.50	130.31
3.75	135.92
4.00	141.50
4.50	152.59
5.00	163.68
5.50	174.81
6.00	186.05
6.50	197.42
7.00	208.96
8.00	232.60
9.00	257.11
10.0	282.59
