0.0100	1.21
0.0110	1.32
0.0120	1.43
0.0130	1.54
0.0140	1.65
0.0150	1.76
0.0160	1.87
0.0170	1.97
0.0180	2.08
0.0200	2.30
0.0225	2.56
0.0250	2.82
0.0275	3.08
0.0300	3.33
0.0325	3.58
0.0350	3.84
0.0375	4.08
0.0400	4.33
0.0450	4.82
0.0500	5.30
0.0550	5.78
0.0600	6.25
0.0650	6.71
0.0700	7.17
0.0800	8.07
0.0900	8.94
0.100	9.79
0.110	10.63
0.120	11.44
0.130	12.24
0.140	13.03
0.150	13.80
0.160	14.55
0.170	15.30
0.180	16.03
0.200	17.46
0.225	19.20
0.250	20.87
0.275	22.49
0.300	24.05
0.325	25.57
0.350	27.05
0.375	28.49
0.400	29.88
0.450	32.58
0.500	35.16
0.550	37.63
0.600	40.01
0.650	42.30
0.700	44.52
0.800	48.75
0.900	52.74
1.00	56.53
1.10	60.14
1.20	63.59
1.30	66.92
1.40	70.12
1.50	73.22
1.60	76.22
1.70	79.15
1.80	82.00
2.00	87.52
2.25	94.15
2.50	100.55
2.75	106.78
3.00	112.89
3.25	118.91
3.50	124.88
3.75	130.81
4.00	136.71
4.50	148.53
5.00	160.39
5.50	172.37
6.00	184.48
6.50	196.77
7.00	209.25
8.00	234.85
9.00	261.38
10.0	288.90
