0.0100	1.17
0.0110	1.28
0.0120	1.39
0.0130	1.50
0.0140	1.61
0.0150	1.72
0.0160	1.83
0.0170	1.94
0.0180	2.05
0.0200	2.26
0.0225	2.53
0.0250	2.79
0.0275	3.06
0.0300	3.32
0.0325	3.57
0.0350	3.83
0.0375	4.08
0.0400	4.33
0.0450	4.83
0.0500	5.33
0.0550	5.81
0.0600	6.29
0.0650	6.77
0.0700	7.24
0.0800	8.17
0.0900	9.08
0.100	9.97
0.110	10.84
0.120	11.69
0.130	12.53
0.140	13.35
0.150	14.15
0.160	14.94
0.170	15.72
0.180	16.48
0.200	17.96
0.225	19.75
0.250	21.47
0.275	23.12
0.300	24.72
0.325	26.27
0.350	27.77
0.375	29.22
0.400	30.64
0.450	33.36
0.500	35.94
0.550	38.41
0.600	40.78
0.650	43.05
0.700	45.24
0.800	49.38
0.900	53.27
1.00	56.93
1.10	60.41
1.20	63.71
1.30	66.88
1.40	69.93
1.50	72.86
1.60	75.71
1.70	78.47
1.80	81.16
2.00	86.35
2.25	92.58
2.50	98.57
2.75	104.41
3.00	110.12
3.25	115.74
3.50	121.31
3.75	126.83
4.00	132.33
4.50	143.30
5.00	154.30
5.50	165.37
6.00	176.55
6.50	187.87
7.00	199.35
8.00	222.84
9.00	247.12
10.0	272.27
