0.0100	3.65
0.0110	3.98
0.0120	4.31
0.0130	4.62
0.0140	4.93
0.0150	5.23
0.0160	5.53
0.0170	5.82
0.0180	6.10
0.0200	6.65
0.0225	7.32
0.0250	7.95
0.0275	8.56
0.0300	9.14
0.0325	9.71
0.0350	10.26
0.0375	10.79
0.0400	11.31
0.0450	12.31
0.0500	13.26
0.0550	14.16
0.0600	15.04
0.0650	15.88
0.0700	16.69
0.0800	18.24
0.0900	19.70
0.100	21.08
0.110	22.40
0.120	23.66
0.130	24.87
0.140	26.03
0.150	27.15
0.160	28.24
0.170	29.30
0.180	30.32
0.200	32.30
0.225	34.65
0.250	36.88
0.275	39.03
0.300	41.11
0.325	43.12
0.350	45.09
0.375	47.02
0.400	48.92
0.450	52.64
0.500	56.31
0.550	59.96
0.600	63.60
0.650	67.26
0.700	70.96
0.800	78.53
0.900	86.36
1.00	94.52
1.10	103.03
1.20	111.91
1.30	121.19
1.40	130.87
1.50	140.96
1.60	151.45
1.70	162.36
1.80	173.68
2.00	197.53
2.25	229.64
2.50	264.25
2.75	301.34
3.00	340.88
3.25	382.82
3.50	427.14
3.75	473.82
4.00	522.84
4.50	627.74
5.00	741.78
5.50	864.87
6.00	996.90
6.50	1140
7.00	1290
8.00	1610
9.00	1970
10.0	2360
