0.0100	1.91
0.0110	2.11
0.0120	2.30
0.0130	2.50
0.0140	2.69
0.0150	2.88
0.0160	3.08
0.0170	3.27
0.0180	3.46
0.0200	3.84
0.0225	4.33
0.0250	4.81
0.0275	5.29
0.0300	5.77
0.0325	6.24
0.0350	6.71
0.0375	7.17
0.0400	7.62
0.0450	8.50
0.0500	9.35
0.0550	10.18
0.0600	10.98
0.0650	11.76
0.0700	12.52
0.0800	13.98
0.0900	15.39
0.100	16.74
0.110	18.04
0.120	19.31
0.130	20.54
0.140	21.74
0.150	22.91
0.160	24.06
0.170	25.18
0.180	26.27
0.200	28.40
0.225	30.96
0.250	33.42
0.275	35.78
0.300	38.06
0.325	40.27
0.350	42.40
0.375	44.47
0.400	46.48
0.450	50.33
0.500	53.97
0.550	57.43
0.600	60.73
0.650	63.88
0.700	66.90
0.800	72.60
0.900	77.92
1.00	82.91
1.10	87.65
1.20	92.16
1.30	96.50
1.40	100.69
1.50	104.75
1.60	108.72
1.70	112.59
1.80	116.40
2.00	123.85
2.25	132.95
2.50	141.92
2.75	150.82
3.00	159.72
3.25	168.65
3.50	177.64
3.75	186.71
4.00	195.89
4.50	214.60
5.00	233.86
5.50	253.70
6.00	274.19
6.50	295.34
7.00	317.19
8.00	363.04
9.00	411.89
10.0	463.84
