0.0100	4.45
0.0110	4.75
0.0120	5.04
0.0130	5.32
0.0140	5.59
0.0150	5.86
0.0160	6.11
0.0170	6.36
0.0180	6.61
0.0200	7.09
0.0225	7.67
0.0250	8.22
0.0275	8.76
0.0300	9.29
0.0325	9.80
0.0350	10.31
0.0375	10.81
0.0400	11.30
0.0450	12.27
0.0500	13.22
0.0550	14.17
0.0600	15.12
0.0650	16.07
0.0700	17.02
0.0800	18.95
0.0900	20.92
0.100	22.95
0.110	25.04
0.120	27.21
0.130	29.45
0.140	31.77
0.150	34.17
0.160	36.67
0.170	39.25
0.180	41.92
0.200	47.53
0.225	55.06
0.250	63.16
0.275	71.83
0.300	81.07
0.325	90.86
0.350	101.20
0.375	112.09
0.400	123.50
0.450	147.88
0.500	174.31
0.550	202.72
0.600	233.08
0.650	265.34
0.700	299.48
0.800	373.20
0.900	454.12
1.00	542.12
1.10	637.06
1.20	739.32
1.30	849.06
1.40	965.76
1.50	1090
1.60	1220
1.70	1360
1.80	1500
2.00	1810
2.25	2220
2.50	2680
2.75	3170
3.00	3700
3.25	4270
3.50	4870
3.75	5510
4.00	6190
4.50	7640
5.00	9230
5.50	10960
6.00	12810
6.50	14810
7.00	16930
8.00	21550
9.00	26670
10.0	32300
