0.0100	4.99
0.0110	5.32
0.0120	5.63
0.0130	5.92
0.0140	6.21
0.0150	6.49
0.0160	6.76
0.0170	7.03
0.0180	7.28
0.0200	7.79
0.0225	8.39
0.0250	8.98
0.0275	9.55
0.0300	10.10
0.0325	10.64
0.0350	11.17
0.0375	11.69
0.0400	12.20
0.0450	13.21
0.0500	14.19
0.0550	15.17
0.0600	16.13
0.0650	17.10
0.0700	18.06
0.0800	20.00
0.0900	21.96
0.100	23.97
0.110	26.04
0.120	28.16
0.130	30.35
0.140	32.61
0.150	34.94
0.160	37.34
0.170	39.82
0.180	42.38
0.200	47.72
0.225	54.85
0.250	62.48
0.275	70.60
0.300	79.20
0.325	88.29
0.350	97.86
0.375	107.90
0.400	118.39
0.450	140.75
0.500	164.89
0.550	190.78
0.600	218.38
0.650	247.66
0.700	278.59
0.800	345.28
0.900	418.38
1.00	497.79
1.10	583.43
1.20	675.69
1.30	774.66
1.40	879.81
1.50	991.00
1.60	1110
1.70	1230
1.80	1360
2.00	1630
2.25	2010
2.50	2420
2.75	2860
3.00	3330
3.25	3840
3.50	4370
3.75	4940
4.00	5540
4.50	6830
5.00	8240
5.50	9770
6.00	11420
6.50	13180
7.00	15050
8.00	19140
9.00	23660
10.0	28620
